,name,context,code,red,green,blue
0,grey,ash,"(128, 128, 128)",128,128,128
1,yellow,banana,"(255, 255, 0)",255,255,0
2,brown,beaver,"(165, 42, 42)",165,42,42
3,red,blood,"(255, 0, 0)",255,0,0
4,green,broccoli,"(0, 255, 0)",0,255,0
5,brown,cardboard,"(165, 42, 42)",165,42,42
6,orange,carrot,"(255, 165, 0)",255,165,0
7,white,cauliflower,"(255, 255, 255)",255,255,255
8,brown,cello,"(165, 42, 42)",165,42,42
9,white,chalk,"(255, 255, 255)",255,255,255
10,red,cherry,"(255, 0, 0)",255,0,0
11,white,cloud,"(255, 255, 255)",255,255,255
12,green,clover,"(0, 255, 0)",0,255,0
13,black,coal,"(0, 0, 0)",0,0,0
14,brown,cockroach,"(165, 42, 42)",165,42,42
15,brown,coffee,"(165, 42, 42)",165,42,42
16,yellow,corn,"(255, 255, 0)",255,255,0
17,white,cotton,"(255, 255, 255)",255,255,255
18,black,crow,"(0, 0, 0)",0,0,0
19,brown,deer,"(165, 42, 42)",165,42,42
20,grey,dolphin,"(128, 128, 128)",128,128,128
21,grey,elephant,"(128, 128, 128)",128,128,128
22,white,flour,"(255, 255, 255)",255,255,255
23,white,foam,"(255, 255, 255)",255,255,255
24,grey,fog,"(128, 128, 128)",128,128,128
25,green,forest,"(0, 255, 0)",0,255,0
26,white,froth,"(255, 255, 255)",255,255,255
27,white,garlic,"(255, 255, 255)",255,255,255
28,yellow,gold,"(255, 255, 0)",255,255,0
29,black,gorilla,"(0, 0, 0)",0,0,0
30,green,grass,"(0, 255, 0)",0,255,0
31,green,lettuce,"(0, 255, 0)",0,255,0
32,brown,mud,"(165, 42, 42)",165,42,42
33,yellow,mustard,"(255, 255, 0)",255,255,0
34,green,parsley,"(0, 255, 0)",0,255,0
35,pink,pig,"(255, 192, 203)",255,192,203
36,green,salad,"(0, 255, 0)",0,255,0
37,blue,sea,"(0, 0, 255)",0,0,255
38,black,shadow,"(0, 0, 0)",0,0,0
39,black,silhouette,"(0, 0, 0)",0,0,0
40,blue,sky,"(0, 0, 255)",0,0,255
41,grey,slate,"(128, 128, 128)",128,128,128
42,white,snow,"(255, 255, 255)",255,255,255
43,brown,soil,"(165, 42, 42)",165,42,42
44,green,spinach,"(0, 255, 0)",0,255,0
45,red,strawberry,"(255, 0, 0)",255,0,0
46,white,swan,"(255, 255, 255)",255,255,255
47,grey,tin,"(128, 128, 128)",128,128,128
48,black,vinyl,"(0, 0, 0)",0,0,0
49,brown,violin,"(165, 42, 42)",165,42,42
50,green,weed,"(0, 255, 0)",0,255,0
51,brown,wood,"(165, 42, 42)",165,42,42
52,blue,label,"(0, 0, 255)",0,0,255
53,blue,ring,"(0, 0, 255)",0,0,255
54,blue,note,"(0, 0, 255)",0,0,255
55,blue,flag,"(0, 0, 255)",0,0,255
56,blue,uniform,"(0, 0, 255)",0,0,255
57,blue,shark,"(0, 0, 255)",0,0,255
58,blue,line,"(0, 0, 255)",0,0,255
59,blue,fish,"(0, 0, 255)",0,0,255
60,blue,filter,"(0, 0, 255)",0,0,255
61,blue,book,"(0, 0, 255)",0,0,255
62,blue,eye,"(0, 0, 255)",0,0,255
63,blue,helmet,"(0, 0, 255)",0,0,255
64,blue,shield,"(0, 0, 255)",0,0,255
65,blue,ball,"(0, 0, 255)",0,0,255
66,blue,bin,"(0, 0, 255)",0,0,255
67,blue,dress,"(0, 0, 255)",0,0,255
68,blue,ground,"(0, 0, 255)",0,0,255
69,blue,colour,"(0, 0, 255)",0,0,255
70,blue,vinyl,"(0, 0, 255)",0,0,255
71,blue,color,"(0, 0, 255)",0,0,255
72,blue,square,"(0, 0, 255)",0,0,255
73,blue,logo,"(0, 0, 255)",0,0,255
74,blue,car,"(0, 0, 255)",0,0,255
75,blue,laser,"(0, 0, 255)",0,0,255
76,blue,thing,"(0, 0, 255)",0,0,255
77,blue,wave,"(0, 0, 255)",0,0,255
78,blue,area,"(0, 0, 255)",0,0,255
79,blue,field,"(0, 0, 255)",0,0,255
80,blue,pill,"(0, 0, 255)",0,0,255
81,blue,planet,"(0, 0, 255)",0,0,255
82,blue,link,"(0, 0, 255)",0,0,255
83,blue,cheese,"(0, 0, 255)",0,0,255
84,blue,flash,"(0, 0, 255)",0,0,255
85,blue,pencil,"(0, 0, 255)",0,0,255
86,blue,state,"(0, 0, 255)",0,0,255
87,blue,triangle,"(0, 0, 255)",0,0,255
88,blue,face,"(0, 0, 255)",0,0,255
89,blue,hat,"(0, 0, 255)",0,0,255
90,blue,hair,"(0, 0, 255)",0,0,255
91,blue,bag,"(0, 0, 255)",0,0,255
92,brown,egg,"(165, 42, 42)",165,42,42
93,brown,colour,"(165, 42, 42)",165,42,42
94,brown,leather,"(165, 42, 42)",165,42,42
95,brown,butterfly,"(165, 42, 42)",165,42,42
96,brown,shirt,"(165, 42, 42)",165,42,42
97,brown,spot,"(165, 42, 42)",165,42,42
98,brown,wing,"(165, 42, 42)",165,42,42
99,brown,band,"(165, 42, 42)",165,42,42
100,brown,fox,"(165, 42, 42)",165,42,42
101,brown,coal,"(165, 42, 42)",165,42,42
102,brown,coat,"(165, 42, 42)",165,42,42
103,brown,rat,"(165, 42, 42)",165,42,42
104,brown,soil,"(165, 42, 42)",165,42,42
105,brown,clay,"(165, 42, 42)",165,42,42
106,yellow,skin,"(255, 255, 0)",255,255,0
107,yellow,scheme,"(255, 255, 0)",255,255,0
108,yellow,stripe,"(255, 255, 0)",255,255,0
109,yellow,wall,"(255, 255, 0)",255,255,0
110,yellow,flag,"(255, 255, 0)",255,255,0
111,yellow,dress,"(255, 255, 0)",255,255,0
112,yellow,ball,"(255, 255, 0)",255,255,0
113,yellow,panel,"(255, 255, 0)",255,255,0
